date,total_asset,cash,market_value,daily_return,benchmark_close,positions
2025-07-01,1007678.1039999999,500990.10399999993,506688.0,0.007678103999999934,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.064), 'avg_price': 11.88, 'market_value': np.float64(506688.0), 'profit': np.float64(7727.99999999997), 'profit_ratio': np.float64(0.015488215488215426)}}"
2025-07-02,1008518.1039999999,500990.10399999993,507528.0,0.0008335995360677204,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.084), 'avg_price': 11.88, 'market_value': np.float64(507528.0), 'profit': np.float64(8567.99999999995), 'profit_ratio': np.float64(0.017171717171717074)}}"
2025-07-03,1009778.104,500990.10399999993,508788.00000000006,0.0012493578399859011,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.114), 'avg_price': 11.88, 'market_value': np.float64(508788.00000000006), 'profit': np.float64(9828.0), 'profit_ratio': np.float64(0.019696969696969695)}}"
2025-07-04,1020278.104,500990.10399999993,519288.00000000006,0.010398324105470997,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.364), 'avg_price': 11.88, 'market_value': np.float64(519288.00000000006), 'profit': np.float64(20328.0), 'profit_ratio': np.float64(0.04074074074074074)}}"
2025-07-07,1027838.1039999999,500990.10399999993,526848.0,0.007409744431798453,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.543999999999999), 'avg_price': 11.88, 'market_value': np.float64(526848.0), 'profit': np.float64(27887.999999999913), 'profit_ratio': np.float64(0.055892255892255716)}}"
2025-07-08,1024797.1211999998,251137.12119999994,773659.9999999999,-0.002958620417131485,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.453999999999999), 'avg_price': 11.88, 'market_value': np.float64(523067.99999999994), 'profit': np.float64(24107.99999999992), 'profit_ratio': np.float64(0.04831649831649815)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.56), 'avg_price': 6.54, 'market_value': np.float64(250591.99999999997), 'profit': np.float64(763.9999999999837), 'profit_ratio': np.float64(0.003058103975535103)}}"
2025-07-09,1030333.1211999999,251137.12119999994,779196.0,0.005402044839389931,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.604), 'avg_price': 11.88, 'market_value': np.float64(529368.0), 'profit': np.float64(30407.999999999935), 'profit_ratio': np.float64(0.060942760942760806)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.54), 'avg_price': 6.54, 'market_value': np.float64(249828.0), 'profit': np.float64(0.0), 'profit_ratio': np.float64(0.0)}}"
2025-07-10,1053017.1212,251137.12119999994,801880.0,0.022016180527692428,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.944), 'avg_price': 11.88, 'market_value': np.float64(543648.0), 'profit': np.float64(44688.0), 'profit_ratio': np.float64(0.08956228956228957)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.76), 'avg_price': 6.54, 'market_value': np.float64(258232.0), 'profit': np.float64(8403.99999999999), 'profit_ratio': np.float64(0.03363914373088681)}}"
2025-07-11,1041677.1211999999,251137.12119999994,790540.0,-0.010769055670317244,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.674), 'avg_price': 11.88, 'market_value': np.float64(532308.0), 'profit': np.float64(33347.99999999995), 'profit_ratio': np.float64(0.06683501683501672)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.76), 'avg_price': 6.54, 'market_value': np.float64(258232.0), 'profit': np.float64(8403.99999999999), 'profit_ratio': np.float64(0.03363914373088681)}}"
2025-07-14,1040797.1211999998,251137.12119999994,789659.9999999999,-0.0008447915213750367,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.743999999999998), 'avg_price': 11.88, 'market_value': np.float64(535247.9999999999), 'profit': np.float64(36287.99999999988), 'profit_ratio': np.float64(0.07272727272727249)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.66), 'avg_price': 6.54, 'market_value': np.float64(254412.0), 'profit': np.float64(4584.000000000004), 'profit_ratio': np.float64(0.018348623853211024)}}"
2025-07-15,1028005.1211999999,251137.12119999994,776868.0,-0.012290579729170647,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.494), 'avg_price': 11.88, 'market_value': np.float64(524748.0), 'profit': np.float64(25787.999999999956), 'profit_ratio': np.float64(0.051683501683501595)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.6), 'avg_price': 6.54, 'market_value': np.float64(252120.0), 'profit': np.float64(2291.999999999985), 'profit_ratio': np.float64(0.009174311926605444)}}"
2025-07-16,1022697.1211999999,251137.12119999994,771560.0,-0.0051633984019495175,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.404), 'avg_price': 11.88, 'market_value': np.float64(520968.0), 'profit': np.float64(22007.999999999964), 'profit_ratio': np.float64(0.04410774410774403)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.5600000000000005), 'avg_price': 6.54, 'market_value': np.float64(250592.00000000003), 'profit': np.float64(764.0000000000176), 'profit_ratio': np.float64(0.003058103975535239)}}"
2025-07-17,1020597.1211999999,251137.12119999994,769460.0,-0.002053393870451036,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.354000000000001), 'avg_price': 11.88, 'market_value': np.float64(518868.00000000006), 'profit': np.float64(19908.000000000007), 'profit_ratio': np.float64(0.03989898989898991)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.56), 'avg_price': 6.54, 'market_value': np.float64(250591.99999999997), 'profit': np.float64(763.9999999999837), 'profit_ratio': np.float64(0.003058103975535103)}}"
2025-07-18,1025599.1211999999,251137.12119999994,774462.0,0.0049010524291100655,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.463999999999999), 'avg_price': 11.88, 'market_value': np.float64(523487.99999999994), 'profit': np.float64(24527.99999999991), 'profit_ratio': np.float64(0.04915824915824898)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.57), 'avg_price': 6.54, 'market_value': np.float64(250974.0), 'profit': np.float64(1146.0000000000095), 'profit_ratio': np.float64(0.004587155963302791)}}"
2025-07-21,1022965.1211999999,251137.12119999994,771828.0,-0.0025682549307551026,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.374), 'avg_price': 11.88, 'market_value': np.float64(519708.0), 'profit': np.float64(20747.99999999999), 'profit_ratio': np.float64(0.04158249158249156)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.6), 'avg_price': 6.54, 'market_value': np.float64(252120.0), 'profit': np.float64(2291.999999999985), 'profit_ratio': np.float64(0.009174311926605444)}}"
2025-07-22,1021745.1211999999,251137.12119999994,770608.0,-0.0011926115316315635,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.254), 'avg_price': 11.88, 'market_value': np.float64(514668.0), 'profit': np.float64(15707.999999999949), 'profit_ratio': np.float64(0.031481481481481374)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.7), 'avg_price': 6.54, 'market_value': np.float64(255940.0), 'profit': np.float64(6112.0000000000055), 'profit_ratio': np.float64(0.024464831804281367)}}"
2025-07-23,1024189.1211999999,251137.12119999994,773052.0,0.002391985975063543,,"{'000001.SZ': {'volume': 42000, 'price': np.float64(12.294), 'avg_price': 11.88, 'market_value': np.float64(516348.0), 'profit': np.float64(17387.99999999999), 'profit_ratio': np.float64(0.03484848484848482)}, '000002.SZ': {'volume': 38200, 'price': np.float64(6.72), 'avg_price': 6.54, 'market_value': np.float64(256704.0), 'profit': np.float64(6875.999999999989), 'profit_ratio': np.float64(0.02752293577981647)}}"
2025-07-24,1024630.9251999999,764488.9251999999,260141.99999999997,0.00043136954968078583,,"{'000002.SZ': {'volume': 38200, 'price': np.float64(6.81), 'avg_price': 6.54, 'market_value': np.float64(260141.99999999997), 'profit': np.float64(10313.999999999984), 'profit_ratio': np.float64(0.041284403669724704)}}"
2025-07-25,1023484.9251999999,764488.9251999999,258995.99999999997,-0.0011184515046491592,,"{'000002.SZ': {'volume': 38200, 'price': np.float64(6.779999999999999), 'avg_price': 6.54, 'market_value': np.float64(258995.99999999997), 'profit': np.float64(9167.999999999975), 'profit_ratio': np.float64(0.036697247706421916)}}"
2025-07-28,1023866.9251999999,764488.9251999999,259378.0,0.000373234613030918,,"{'000002.SZ': {'volume': 38200, 'price': np.float64(6.79), 'avg_price': 6.54, 'market_value': np.float64(259378.0), 'profit': np.float64(9550.0), 'profit_ratio': np.float64(0.0382262996941896)}}"
2025-07-29,1024630.9251999999,764488.9251999999,260142.00000000003,0.0007461907218565166,,"{'000002.SZ': {'volume': 38200, 'price': np.float64(6.8100000000000005), 'avg_price': 6.54, 'market_value': np.float64(260142.00000000003), 'profit': np.float64(10314.000000000018), 'profit_ratio': np.float64(0.04128440366972484)}}"
2025-07-30,1020428.9251999999,764488.9251999999,255940.0,-0.0041009888503802504,,"{'000002.SZ': {'volume': 38200, 'price': np.float64(6.7), 'avg_price': 6.54, 'market_value': np.float64(255940.0), 'profit': np.float64(6112.0000000000055), 'profit_ratio': np.float64(0.024464831804281367)}}"
2025-07-31,1010496.9251999999,764488.9251999999,246007.99999999997,-0.009733161962312435,,"{'000002.SZ': {'volume': 38200, 'price': np.float64(6.4399999999999995), 'avg_price': 6.54, 'market_value': np.float64(246007.99999999997), 'profit': np.float64(-3820.0000000000205), 'profit_ratio': np.float64(-0.015290519877675922)}}"
