date,cash,stock_value,total_value,positions,benchmark_value
20260206,276556.0,937898.0,1214454.0,101,992225.8173499352
20260209,276556.0,955008.0,1231564.0,101,1021750.727047644
20260210,276556.0,951333.0,1227889.0,101,1018000.6756959761
20260211,276556.0,949275.0,1225831.0,101,1007024.6015877016
20260212,276556.0,959263.0,1235819.0,101,1020307.9751132955
20260213,276556.0,949789.0,1226345.0,101,1004333.7741912341
20260216,276556.0,939754.0,1216310.0,101,1004333.7741912341
20260217,276556.0,939754.0,1222232.0,101,1004333.7741912341
20260218,276556.0,939754.0,1216310.0,101,1004333.7741912341
20260219,276556.0,939754.0,1216310.0,101,1004333.7741912341
20260220,276556.0,939754.0,1216310.0,101,1004333.7741912341
20260223,276556.0,939754.0,1216310.0,101,1004333.7741912341
20260224,276556.0,970389.0,1246945.0,101,1014238.3612594435
20260225,276556.0,983111.0,1259667.0,101,1028510.7525793866
20260226,276556.0,991746.0,1268302.0,101,1025494.953434001
20260227,276556.0,1002351.0,1278907.0,101,1014863.7785875503
20260302,276556.0,983577.0,1260133.0,101,1009914.3975361009
20260303,137069.0,1090650.0,1227719.0,22,983953.7534543577
20260304,137069.0,1100252.0,1237321.0,22,970124.0594980351
20260305,137069.0,1112011.0,1249080.0,22,986239.8990502855
20260306,137069.0,1133450.0,1270519.0,22,990029.805427764
20260309,137069.0,1120852.0,1257921.0,22,983677.834044899
20260310,137069.0,1147838.0,1284907.0,22,1013587.1914531202
20260311,137069.0,1157409.0,1294478.0,22,1026888.9596060115
20260312,137069.0,1140289.0,1277358.0,22,1017076.3456742888
20260313,137069.0,1134166.0,1271235.0,22,1014855.5010052664
20260316,137069.0,1138006.0,1275075.0,22,1029186.1419783178
20260317,154840.0,1084855.0,1239695.0,55,1005591.046967002
